x,y,z,a,h,g
.0410898,0,0,0,1.0279,1.0357
.0394844,0,9869e-7,32648e-8,1.0279,1.0357
.0364767,0,.0019244,.0009794399999999998,1.0279,1.0357
.0315116,0,.0026381,.0017043599999999998,1.0279,1.0357
.028523,0,.0026165,.0020369999999999997,1.0279,1.0357
.0252043,0,.0026375,.00217798,1.0279,1.0357
.0221774,0,.0024691,.0023947,1.0279,1.0357
.018968,0,.0024145,.0023282,1.0279,1.0357
.0162722,0,.0022034,.00247996,1.0279,1.0357
.0137607,0,.001989,.002856,1.0279,1.0357
.0112867,0,.001811,.00263732,1.0279,1.0357
.009074,0,.0018127,.00247842,1.0279,1.0357
.0071265,0,.0022155,.00207522,1.0279,1.0357
.0031881,0,.002653,.0016591399999999997,1.0279,1.0357
0,0,.003815,83244e-8,1.0279,1.0357
