x,y,z,a,g,h
0,0,0,0,1.032,1.02
0.002,0,0,0.001,1.032,1.02
0.004,0,0,0.002,1.032,1.02
0.006,0,0,0.003,1.032,1.02
0.008,0,0,0.004,1.032,1.02
0.01,0,0,0.005,1.032,1.02
0.012,0,0,0.006,1.032,1.02
0.014,0,0,0.007,1.032,1.02
0.016,0,0,0.008,1.032,1.02
0.018,0,0,0.0083,1.032,1.02
0.02,0,0,0.0086,1.032,1.02
0.022,0,0,0.0088,1.032,1.02
0.024,0,0,0.0089,1.032,1.02
0.026,0,0,0.009,1.032,1.02
0.028,0,0,0.009,1.032,1.02
0.03,0,0,0.009,1.032,1.02
0.032,0,0,0.009,1.032,1.02
0.034,0,0,0.009,1.032,1.02
0.036,0,0,0.009,1.032,1.02
0.038,0,0,0.009,1.032,1.02
0.04,0,0,0.009,1.032,1.02
0.042,0,0,0.009,1.032,1.02
0.044,0,0,0.009,1.032,1.02
0.046,0,0,0.009,1.032,1.02
0.048,0,0,0.009,1.032,1.02
0.05,0,0,0.009,1.032,1.02
0.052,0,0,0.009,1.032,1.02
0.054,0,0,0.009,1.032,1.02
0.056,0,0,0.009,1.032,1.02
0.058,0,0,0.009,1.032,1.02
0.06,0,0,0.009,1.032,1.02
0.062,0,0,0.009,1.032,1.02
0.064,0,0,0.009,1.032,1.02
0.066,0,0,0.009,1.032,1.02
0.068,0,0,0.009,1.032,1.02
0.07,0,0,0.009,1.032,1.02
0.072,0,0,0.009,1.032,1.02
0.074,0,0,0.009,1.032,1.02
0.076,0,0,0.009,1.032,1.02
0.078,0,0,0.009,1.032,1.02
0.08,0,0,0.009,1.032,1.02
0.082,0,0,0.009,1.032,1.02
0.084,0,0,0.009,1.032,1.02
0.086,0,0,0.009,1.032,1.02
0.088,0,0,0.009,1.032,1.02
0.09,0,0,0.009,1.032,1.02
0.092,0,0,0.009,1.032,1.02
0.094,0,0,0.009,1.032,1.02
0.096,0,0,0.009,1.032,1.02
0.098,0,0,0.009,1.032,1.02
0.1,0,0,0.009,1.032,1.02
0.102,0,0,0.009,1.032,1.02
0.104,0,0,0.009,1.032,1.02
0.106,0,0,0.009,1.032,1.02
0.108,0,0,0.009,1.032,1.02
0.11,0,0,0.0089,1.032,1.02
0.112,0,0,0.0088,1.032,1.02
0.114,0,0,0.0087,1.032,1.02
0.116,0,0,0.0085,1.032,1.02
0.118,0,0,0.0081,1.032,1.02
0.12,0,0,0.0075,1.032,1.02
0.122,0,0,0.007,1.032,1.02
0.124,0,0,0.0065,1.032,1.02
0.126,0,0,0.006,1.032,1.02
0.128,0,0,0.0055,1.032,1.02
0.13,0,0,0.005,1.032,1.02
0.132,0,0,0.0045,1.032,1.02
0.134,0,0,0.004,1.032,1.02
0.136,0,0,0.0035,1.032,1.02
0.138,0,0,0.003,1.032,1.02
0.14,0,0,0.0025,1.032,1.02
0.142,0,0,0.002,1.032,1.02
0.144,0,0,0.0015,1.032,1.02
0.146,0,0,0.001,1.032,1.02
